id,Area,MajorAxisLength,MinorAxisLength,Eccentricity,ConvexArea,EquivDiameter,Extent,Perimeter,Roundness,AspectRation,Class
1,6918,159.824554,55.802983,0.937066289,7096,93.85239033,0.734394905,358.073,0.678027443,2.864086209,1
2,6740,157.886691,55.1258546,0.937067517,6895,92.63711206,0.549575995,353.261,0.678700818,2.864113258,1
3,5404,141.7103215,49.47691479,0.937070119,5535,82.94930078,0.52086747,314.616,0.686062362,2.864170534,1
4,5914,148.5744157,51.87240292,0.937072752,6102,86.7752192,0.518862958,336.804,0.655143902,2.864228516,1
5,5243,139.6579035,48.7029073,0.937223215,5410,81.70431404,0.556759053,312.927,0.672827368,2.867547571,1
6,5624,144.5945676,50.4226218,0.937227972,5840,84.62091467,0.517244551,333.803,0.634270781,2.867652702,1
7,4209,125.4294738,43.73903642,0.937229118,4336,73.20563669,0.584583333,281.509,0.667427692,2.867678031,1
8,6233,151.9947138,53.00262268,0.937229337,6405,89.08480276,0.488058883,345.904,0.654629877,2.867682884,1
9,5998,149.4975615,52.12949473,0.937235153,6125,87.38930592,0.492446634,334.277,0.674533205,2.867811443,1
10,4473,129.0740878,45.00768774,0.937235682,4572,75.46655209,0.500447527,288.153,0.676959164,2.867823128,1
11,5794,112.6379423,68.23991075,0.795590973,5988,85.89033661,0.574345757,299.566,0.811340796,1.650616788,0
12,5194,139.7902204,48.74125151,0.937243971,5392,81.32162194,0.529783762,314.557,0.659649292,2.868006381,1
13,8262,133.7801054,80.76468493,0.797202328,8421,102.5646387,0.621810793,356.82,0.81544876,1.656418341,0
14,6356,117.7587329,71.03545511,0.797568214,6562,89.95949392,0.632815611,308.446,0.839528545,1.657745879,0
15,5887,148.2481021,51.69009084,0.937244489,6085,86.57690916,0.572331324,336.348,0.653922379,2.868017829,1
16,6186,151.8618516,52.94988353,0.937245037,6319,88.74829477,0.660897436,339.903,0.672836874,2.868029947,1
17,5605,144.8344678,50.49907013,0.93724649,5824,84.477853,0.532288699,324.565,0.66862423,2.868062074,1
18,6197,151.7811025,52.92089617,0.937247077,6350,88.82716622,0.490851485,340.205,0.672837171,2.868075062,1
19,7229,164.1596004,57.23578005,0.937249516,7444,95.93877563,0.731532079,369.915,0.663871774,2.868128997,1
20,5548,143.5316989,50.04363473,0.937249606,5691,84.04720694,0.663874596,324.082,0.66379885,2.868130975,1
21,5638,144.9549249,50.53747546,0.937255713,5793,84.72617396,0.596487516,326.482,0.664685877,2.868266045,1
22,6989,161.2753357,56.22481372,0.937261834,7166,94.33276832,0.808912037,364.234,0.662009068,2.868401424,1
23,6843,159.4146311,55.57468767,0.937265184,7100,93.34226376,0.541290935,364.964,0.645589337,2.86847552,1
24,5764,146.0403325,50.91190039,0.937265887,5923,85.66768782,0.588283323,331.577,0.658817369,2.868491088,1
25,7049,162.4866897,56.64458431,0.937267647,7235,94.73682257,0.782700422,362.53,0.673983823,2.868530005,1
26,6108,150.9775614,52.62951204,0.937274712,6268,88.18700097,0.618844985,338.39,0.67030715,2.868686323,1
27,6492,155.0108914,54.03530071,0.937275183,6621,90.91683631,0.832307692,346.718,0.678633974,2.868696747,1
28,6755,121.5511686,73.17618341,0.798481325,6926,92.74013761,0.659153006,321.396,0.821777569,1.661075543,0
29,5590,143.8553033,50.14434117,0.937280946,5713,84.36473822,0.771886219,320.948,0.681949672,2.868824278,1
30,5958,148.5547456,51.78164202,0.937282965,6135,87.09742366,0.680136986,336.406,0.661580806,2.868868963,1
31,6176,152.4858428,53.15183645,0.937283126,6365,88.67653257,0.592138063,347.182,0.64387676,2.868872517,1
32,5732,146.0338974,50.90277405,0.937283417,5852,85.42955619,0.760212202,326.746,0.67467635,2.868878959,1
33,6517,156.0947328,54.40955801,0.937283663,6820,91.09172363,0.486706497,363.99,0.618128375,2.868884412,1
34,6025,149.7425545,52.19450778,0.937285866,6162,87.58577657,0.759007307,334.726,0.675753058,2.868933166,1
35,5591,144.1244703,50.23582912,0.937286976,5779,84.37228392,0.635052249,328.011,0.653014072,2.868957731,1
36,6751,158.8422371,55.36026168,0.937300021,6951,92.71267533,0.711680371,358.867,0.65873528,2.869246501,1
37,5645,145.314766,50.64529903,0.937300841,5785,84.77875459,0.475288373,326.199,0.666666388,2.869264645,1
38,6363,153.6467287,53.54908131,0.937301045,6478,90.00901745,0.490972222,340.975,0.687743843,2.869269182,1
39,5954,149.133007,51.97400239,0.937305915,6099,87.06818161,0.497410192,334.68,0.667973408,2.869376998,1
40,5223,139.2698173,48.53559278,0.937308616,5326,81.5483301,0.515851852,310.589,0.680389729,2.869436826,1
41,6664,157.0954626,54.74763126,0.937309106,6808,92.11334499,0.755898367,351.87,0.676363823,2.869447664,1
42,5469,142.7895677,49.76096213,0.937311911,5594,83.44667201,0.481087263,321.814,0.663602358,2.869509783,1
43,4712,131.5760581,45.85189397,0.937315456,4834,77.45646994,0.603174603,294.84,0.681149341,2.869588291,1
44,7049,162.3956833,56.58949327,0.937321149,7244,94.73682257,0.528014981,365.452,0.66324913,2.869714393,1
45,6079,150.6052863,52.48082478,0.937321414,6208,87.9774016,0.720602181,339.887,0.661260985,2.869720263,1
46,5485,142.7054441,49.72481722,0.9373297,5564,83.56864785,0.833586626,317.855,0.682226211,2.869903845,1
47,6240,152.0116364,52.96665404,0.937331773,6355,89.13481227,0.539279233,336.11,0.69411525,2.869949767,1
48,6275,152.4190054,53.10687872,0.937335963,6396,89.38444016,0.589201878,341.889,0.674610876,2.870042622,1
49,6685,157.1436388,54.75232706,0.937337716,6826,92.25836741,0.62313572,352.003,0.677982597,2.87008146,1
50,6763,158.7020387,55.29452706,0.937339546,6962,92.7950378,0.487528835,357.83,0.663736582,2.870122001,1
51,5778,146.0290755,50.87762951,0.937343157,5866,85.77166251,0.499654099,322.378,0.698645085,2.87020203,1
52,6457,155.5649909,54.19884299,0.937345955,6651,90.67142736,0.520390071,347.597,0.671565862,2.870264055,1
53,4770,134.2407275,46.7685605,0.937348472,4910,77.93171773,0.483969156,302.304,0.655904266,2.870319849,1
54,6595,156.1397733,54.3967642,0.937351508,6780,91.63522684,0.483150183,355.368,0.656248053,2.870387156,1
55,5943,148.5074599,51.73772146,0.937351656,6113,86.98771531,0.53038822,334.885,0.665923289,2.870390417,1
56,6674,157.8580254,54.99526136,0.937351782,6902,92.18243174,0.489834862,357.235,0.657185635,2.870393221,1
57,4088,123.494576,43.02260768,0.937354691,4206,72.14570853,0.536764706,276.621,0.671352263,2.870457712,1
58,5332,140.7103198,49.01860634,0.937358816,5467,82.39486181,0.772753623,317.243,0.665757256,2.870549172,1
59,6441,157.231932,54.77350139,0.937360383,6735,90.55901892,0.485526911,355.637,0.63995478,2.870583914,1
60,6408,154.8293231,53.93643198,0.937360608,6595,90.32673471,0.589241379,350.25,0.656411346,2.870588903,1
61,7019,161.3098401,56.19332711,0.937362132,7175,94.53501132,0.599709501,361.828,0.673722053,2.870622695,1
62,4458,129.0146824,44.94073147,0.937368954,4593,75.33990902,0.480284422,290.892,0.662043267,2.870773977,1
63,5825,147.0235231,51.21096344,0.937376369,5939,86.1198023,0.655746932,326.308,0.687464618,2.870938432,1
64,6787,159.08177,55.41082381,0.937376944,7029,92.95954384,0.526124031,366.263,0.635772321,2.87095118,1
65,5582,144.7428511,50.41533687,0.937379519,5741,84.30434828,0.48004816,325.362,0.662622286,2.871008309,1
66,6813,158.7108936,55.28023444,0.937380238,6986,93.13743081,0.499120879,368.192,0.631538101,2.871024249,1
67,6511,155.6778295,54.21756442,0.937395108,6693,91.04978131,0.475776398,353.721,0.653936941,2.871354167,1
68,6797,159.2780892,55.46934636,0.937399941,6965,93.02800216,0.500515464,356.332,0.67269389,2.87146144,1
69,6457,118.8348701,71.5188764,0.798621139,6659,90.67142736,0.647318296,316.608,0.809462775,1.661587486,0
70,5963,148.6380717,51.76086997,0.93740754,6096,87.13396241,0.785432034,332.568,0.677506952,2.87163009,1
71,5725,146.8702531,51.14474111,0.937408839,5917,85.37737636,0.492854683,332.216,0.65184489,2.87165894,1
72,6482,156.5509455,54.51541637,0.937409883,6655,90.84678711,0.561990636,350.152,0.664363353,2.871682103,1
73,6786,159.8157062,55.6512739,0.937412261,7037,92.95269523,0.550588235,358.818,0.662331297,2.871734913,1
74,6433,155.5867673,54.17821892,0.937413329,6571,90.50276234,0.683779762,346.942,0.671598411,2.871758623,1
75,5166,138.2034673,48.12460859,0.93741446,5268,81.10212998,0.543789474,304.525,0.700032756,2.871783717,1
76,6466,154.9057911,53.94033101,0.93741515,6634,90.73459592,0.666460524,347.396,0.673280346,2.871799046,1
77,4645,131.0850287,45.64514434,0.937416479,4729,76.90382101,0.478767265,293.423,0.677965004,2.871828549,1
78,6518,156.1388823,54.36888529,0.937417113,6664,91.09871213,0.530004879,349.342,0.671154669,2.871842627,1
79,6248,152.5733855,53.1270977,0.937417725,6400,89.19193167,0.633221851,342.384,0.669767334,2.871856211,1
80,6655,157.0972287,54.7011547,0.937420506,6792,92.05112259,0.607651571,351.681,0.676176561,2.871917961,1
81,6195,152.222125,53.00274295,0.937422711,6441,88.81283117,0.481127679,354.035,0.621096065,2.871966931,1
82,5395,141.7947021,49.37074546,0.937425953,5526,82.88019874,0.783587509,315.216,0.682314822,2.872038912,1
83,6147,151.3926916,52.71166067,0.937428302,6335,88.46809301,0.49389362,353.521,0.618077086,2.872091101,1
84,5630,144.4478913,50.29133154,0.937434216,5777,84.66604182,0.499113475,322.945,0.678361402,2.872222446,1
85,6623,156.7467169,54.56950444,0.937443258,6825,91.82954592,0.581168831,355.262,0.659427579,2.872423316,1
86,5156,138.3895588,48.1776209,0.937446096,5286,81.0235959,0.541312336,311.53,0.667610291,2.872486357,1
87,6509,155.8208284,54.24546178,0.937447323,6759,91.03579624,0.488957332,365.555,0.612094784,2.872513631,1
88,6958,160.6271962,55.91745509,0.937450176,7106,94.12332735,0.479399201,359.189,0.67771677,2.872577014,1
89,6747,158.5753265,55.20297082,0.937450617,6933,92.68520491,0.718224399,365.326,0.635271556,2.872586822,1
90,5204,138.4602206,48.19970204,0.93745285,5302,81.39986849,0.501155624,307.819,0.690170363,2.872636442,1
91,5900,148.2315237,51.59928441,0.93745768,6148,86.67244841,0.639219935,341.277,0.636572444,2.872743788,1
92,6354,153.5091931,53.43585363,0.937459092,6584,89.94533933,0.686103013,358.777,0.62030872,2.872775163,1
93,5363,141.5239663,49.26312307,0.937461,5549,82.63403463,0.495244252,320.863,0.654603588,2.872817585,1
94,5291,140.8654266,49.03385251,0.937461104,5420,82.07746604,0.492736078,317.338,0.660242482,2.872819886,1
95,5623,144.8253276,50.41155876,0.937462888,5748,84.61339114,0.793200734,324.686,0.670271605,2.872859542,1
96,7167,124.5260585,74.9011968,0.798880221,7376,95.52647705,0.621272538,330.205,0.825999869,1.662537634,0
97,6713,120.9223482,72.71525455,0.798994429,7013,92.45137675,0.670964518,322.57,0.810734329,1.662957091,0
98,5991,149.2805702,51.96217395,0.937463358,6149,87.33829694,0.809594595,335.073,0.670548686,2.87286999,1
99,5285,140.0617589,48.75324997,0.937463368,5399,82.03091487,0.496710526,312.775,0.678876523,2.872870199,1
100,6074,115.8811194,69.66971876,0.799085674,6367,87.94121329,0.692193732,313.323,0.777499466,1.663292482,0
101,5322,141.9498394,49.4100189,0.937464523,5527,82.31756105,0.571275225,323.232,0.640112098,2.872895872,1
102,6668,157.4550013,54.80687118,0.937464988,6815,92.14098591,0.502638324,354.876,0.665353118,2.872906223,1
103,6303,153.6953008,53.49726048,0.937467249,6470,89.58364165,0.522203811,343.776,0.67020253,2.872956473,1
104,7191,163.129568,56.77758912,0.937475191,7299,95.68628724,0.827122153,363.242,0.684868255,2.873133054,1
105,7024,162.0149406,56.38835842,0.93747813,7246,94.56867643,0.688290054,367.344,0.654106501,2.87319839,1
106,5868,147.7336438,51.41285203,0.937490654,6007,86.43708491,0.562715765,330.526,0.674976595,2.873476921,1
107,6318,153.2774343,53.3419867,0.937491047,6485,89.69017473,0.642464918,345.768,0.664079219,2.873485668,1
108,6792,159.6423264,55.55685324,0.937491456,7014,92.9937793,0.603840683,363.416,0.646248359,2.873494755,1
109,5992,148.9271681,51.82768915,0.937491954,6121,87.34558576,0.724984876,333.279,0.677900212,2.873505852,1
110,5861,148.5057989,51.6795824,0.937495622,6119,86.38551367,0.546480187,340.624,0.63479149,2.873587441,1
111,6588,120.4054185,71.86718906,0.802332975,6712,91.58658265,0.860164512,315.844,0.82988553,1.675387894,0
112,5146,138.7058508,48.26855913,0.937497415,5303,80.94498562,0.497053994,306.256,0.689462158,2.873627332,1
113,6854,159.931843,55.65239965,0.937503542,7044,93.41725665,0.534175045,363.17,0.653031352,2.873763647,1
114,5298,140.6333973,48.93689745,0.937503837,5394,82.13174239,0.521251476,312.872,0.680124503,2.873770195,1
115,6910,160.8459414,55.97013894,0.937504338,7105,93.79810901,0.49480845,358.011,0.677477958,2.87378135,1
116,5598,144.3945277,50.24537243,0.937504619,5763,84.42508497,0.679781421,321.626,0.680049396,2.873787589,1
117,6659,157.0965801,54.66482831,0.937505831,6855,92.07878218,0.603936151,354.658,0.665272172,2.873814572,1
118,5828,147.1254166,51.19447627,0.937507573,5939,86.14197622,0.820267417,326.257,0.688033731,2.873853339,1
119,6694,158.6522978,55.20320539,0.937512768,6915,92.32045013,0.629135338,356.808,0.66073362,2.873968942,1
120,6154,151.1192274,52.58184188,0.937513321,6259,88.51845095,0.473566756,337.893,0.677343498,2.873981246,1
121,4208,125.8083139,43.77425784,0.93751529,4353,73.19693986,0.476287493,282.051,0.664707084,2.874025059,1
122,6646,158.1173517,55.01359046,0.937520936,6835,91.9888581,0.698622937,352.176,0.673365231,2.874150739,1
123,5859,147.9336789,51.47027331,0.937521246,5982,86.37077337,0.841810345,334.859,0.656612899,2.874157632,1
124,6127,151.4897516,52.7067356,0.937523194,6335,88.32405499,0.511222361,342.643,0.655803933,2.87420099,1
125,6597,157.0662316,54.64670926,0.937523692,6782,91.64912044,0.598367347,357.032,0.65034239,2.874212075,1
126,6283,153.4516373,53.3875401,0.937527499,6474,89.44140014,0.511561635,348.507,0.650060702,2.874296831,1
127,5843,147.9493021,51.47004168,0.937535461,5994,86.2527603,0.493746831,331.547,0.667967827,2.874474106,1
128,6538,156.2005733,54.34057118,0.937535468,6663,91.23836991,0.47760976,350.678,0.668094257,2.874474262,1
129,6370,154.4902422,53.74494889,0.937536947,6509,90.05851376,0.790714995,345.428,0.670863587,2.874507193,1
130,5827,147.7786838,51.40948967,0.937538463,6016,86.13458555,0.603458989,335.066,0.652220072,2.87454096,1
131,3176,110.3203306,38.37697087,0.937543326,3332,63.59094899,0.456321839,243.926,0.670770832,2.874649253,1
132,5607,144.3582892,50.21661821,0.93754612,5781,84.49292353,0.468421053,323.775,0.672130798,2.874711486,1
133,6360,153.8231369,53.50837259,0.937547801,6511,89.98779642,0.809984717,344.294,0.674229998,2.87474893,1
134,5283,140.5791622,48.90127913,0.937548042,5487,82.01539194,0.489166667,323.276,0.635248352,2.874754296,1
135,6813,159.4111135,55.45190374,0.937548459,7031,93.13743081,0.683624323,355.865,0.676048261,2.874763584,1
136,6629,157.5920367,54.81897055,0.937548833,6827,91.87113226,0.549258431,356.098,0.656929575,2.87477191,1
137,6468,154.6218661,53.78536118,0.937549852,6621,90.7486274,0.500309406,344.258,0.6858226,2.874794605,1
138,5252,140.4924338,48.87038767,0.93754995,5404,81.77440974,0.486296296,312.98,0.673754081,2.874796795,1
139,5740,146.4593282,50.9458455,0.937550281,5840,85.48915128,0.479211889,326.976,0.674667831,2.874804152,1
140,5770,146.9067885,51.09995481,0.937554169,5933,85.71226384,0.584955393,333.189,0.65313712,2.874890772,1
